48,1.79,28.07
47,1.82,28.25
46,1.86,28.33
45,1.86,27.96
44,1.85,28.54
44,1.85,28.54
43,1.86,28.91
43,1.86,28.91
43,1.86,28.91
43,1.86,28.91
42,1.89,29.59
42,1.89,29.59
41,1.86,30.08
41,1.86,30.08
38,1.91,28.37
38,1.91,28.37
38,1.91,28.37
36,1.84,28.95
35,1.85,29.2
52,1.9,29.73
67,2.05,30.36
76,2.17,31.64
79,2.24,32.26
78,2.25,32.29
82,2.24,32.22
82,2.25,32.25
82,2.24,32.78
81,2.22,32.85
81,2.25,33.23
83,2.29,32.88
82,2.28,33.07
81,2.26,32.76
81,2.28,32.51
78,2.31,32.12
73,2.25,32.73
68,2.27,32.92
65,2.34,33.33
63,2.33,32.9
63,2.39,32.99
67,2.36,31.64
74,2.47,31.78
87,2.5,33.71
93,2.57,34.13
101,2.62,34.18
105,2.64,34.07
106,2.65,34.73
106,2.65,34.49
102,2.66,34.76
103,2.68,35.1
105,2.64,35.21
106,2.62,35.15
105,2.6,34.96
104,2.61,35.49
102,2.6,35.31
100,2.61,35.54
99,2.62,35.43
95,2.63,36.19
93,2.64,36.43
90,2.61,36.31
92,2.56,35.87
99,2.56,35.78
100,2.55,36.02
108,2.52,35.98
113,2.51,35.79
120,2.52,35.92
127,2.56,36.13
124,2.58,36.46
124,2.58,36.49
128,2.61,36.46
133,2.64,36.59
130,2.64,37.0
129,2.67,37.02
126,2.69,36.8
123,2.66,36.93
120,2.67,36.74
112,2.65,36.93
109,2.65,36.61
110,2.64,36.6
109,2.68,36.74
110,2.69,36.74
114,2.66,35.42
120,2.65,35.15
119,2.63,34.24
123,2.64,34.21
125,2.62,34.91
129,2.7,35.36
133,2.71,34.97
134,2.7,34.91
135,2.7,34.67
131,2.69,34.81
133,2.7,35.22
137,2.68,35.32
139,2.69,35.97
138,2.75,35.92
137,2.76,36.08
133,2.77,35.62
130,2.76,35.75
126,2.74,35.63
121,2.71,36.14
122,2.73,36.24
121,2.77,36.53
125,2.75,36.64
127,2.74,36.55
125,2.75,36.46
128,2.72,36.46
134,2.76,36.0
138,2.76,35.51
137,2.78,35.15
136,2.76,34.82
137,2.78,34.5
137,2.8,34.22
137,2.79,33.88
138,2.78,33.98
133,2.8,33.81
129,2.81,34.06
128,2.84,34.52
134,2.85,34.27
132,2.85,33.46
134,2.88,33.73
136,2.88,33.84
134,2.87,33.67
138,2.85,33.25
134,2.85,32.99
130,2.86,33.17
128,2.88,33.03
129,2.89,32.87
129,2.92,32.9
133,2.89,32.96
127,2.88,32.35
121,2.87,32.23
121,2.85,32.46
120,2.85,32.35
116,2.86,32.3
118,2.86,31.73
119,2.87,31.78
115,2.89,32.0
118,2.88,31.48
117,2.87,31.18
117,2.86,31.14
114,2.84,31.19
115,2.88,30.74
111,2.87,30.05
110,2.84,30.3
112,2.82,30.93
109,2.84,30.77
108,2.87,30.88
103,2.88,30.7
103,2.83,31.17
106,2.8,31.82
107,2.8,31.94
104,2.8,31.76
101,2.82,31.41
100,2.85,31.76
103,2.87,31.61
110,2.84,31.62
115,2.8,31.76
112,2.83,31.82
116,2.82,31.9
121,2.84,32.2
121,2.84,33.17
117,2.86,33.46
120,2.9,33.23
120,2.86,32.8
118,2.83,33.03
115,2.82,33.23
118,2.79,33.42
113,2.8,33.27
115,2.79,33.34
114,2.8,33.39
116,2.82,33.65
116,2.85,34.55
115,2.81,34.57
115,2.82,34.45
119,2.83,34.2
121,2.82,33.91
123,2.81,33.56
120,2.79,33.87
124,2.79,34.45
130,2.8,35.0
128,2.82,35.92
125,2.82,35.98
122,2.82,35.79
118,2.83,35.95
114,2.82,35.97
110,2.81,35.43
108,2.84,36.02
110,2.83,35.91
110,2.82,35.96
109,2.82,36.17
104,2.81,36.76
104,2.8,36.71
104,2.78,36.89
105,2.82,36.86
102,2.77,36.1
109,2.76,35.68
111,2.77,36.0
115,2.81,36.43
115,2.8,36.51
119,2.83,36.78
125,2.85,37.45
125,2.86,37.26
120,2.87,37.1
117,2.86,37.27
111,2.89,37.36
106,2.88,37.33
