49,27,22
48,28,20
48,28,20
48,28,20
47,27,20
46,27,19
46,27,19
45,27,18
44,26,18
44,26,18
43,25,18
42,24,18
40,24,16
40,24,16
40,24,16
38,22,16
38,22,16
36,20,16
35,20,15
35,19,16
35,19,16
34,19,15
34,19,15
32,18,14
44,25,19
60,36,24
76,44,32
83,47,36
88,51,37
88,52,37
88,52,36
86,49,37
86,48,38
83,46,37
81,46,35
79,47,32
74,43,31
72,44,29
70,42,28
67,42,25
66,40,26
61,37,24
57,35,22
54,32,22
51,31,20
48,28,20
46,26,20
43,26,17
40,24,16
39,24,15
39,25,14
45,27,18
56,33,23
61,37,24
65,36,29
61,33,28
62,34,28
62,33,29
59,33,26
58,31,27
57,32,25
56,30,26
57,31,26
55,30,25
55,31,24
52,28,24
49,28,21
46,27,19
46,26,20
46,27,19
44,25,19
41,23,18
40,22,18
40,22,18
38,21,17
39,20,19
39,19,20
42,20,22
49,20,29
51,20,31
55,23,32
52,21,31
52,23,29
51,22,29
50,23,27
50,23,27
50,22,28
49,23,26
47,21,26
45,20,25
43,19,24
39,16,23
37,16,21
32,13,19
33,14,19
33,14,19
33,15,18
35,16,19
34,16,19
33,15,18
33,14,19
34,15,19
35,17,18
36,17,20
37,18,19
36,18,18
36,17,19
36,17,19
34,16,18
31,16,15
30,15,15
29,15,14
27,14,13
27,14,13
25,13,12
23,13,10
23,11,12
23,11,12
21,9,12
20,10,10
19,9,10
16,7,9
15,6,9
15,6,9
14,5,9
14,5,9
15,6,9
20,7,13
22,9,13
21,8,13
23,11,12
22,12,10
22,12,10
22,12,10
22,11,11
22,12,10
22,12,10
22,12,10
22,12,10
22,12,10
20,10,10
20,10,10
18,10,8
18,9,9
17,9,8
16,8,8
15,6,9
15,7,8
15,7,8
16,7,9
16,7,9
17,8,9
19,9,10
19,10,9
20,10,10
21,11,10
19,10,9
18,10,8
18,9,9
17,8,9
18,11,7
20,10,10
22,11,11
21,10,11
21,11,10
21,11,10
21,11,10
21,11,10
21,11,10
21,11,10
20,10,10
20,11,9
19,11,8
20,11,9
18,9,9
19,12,7
20,12,8
20,13,7
24,16,8
28,16,12
30,18,12
31,19,12
31,18,13
32,18,14
32,19,13
31,17,14
32,16,16
31,16,15
31,17,14
30,17,13
30,16,14
30,16,14
29,15,14
25,13,12
23,12,11
22,13,9
21,12,9
19,12,8
18,12,6
18,11,7
17,10,7
16,10,6
15,9,6
15,9,6
16,8,8
21,11,10
23,12,11
24,12,12
26,12,14
25,12,13
25,12,13
25,12,13
25,12,13
25,12,13
25,12,13
23,12,11
24,12,12
23,12,11
21,10,11
21,9,12
21,9,12
20,8,12
21,10,11
21,11,10
20,10,10
20,11,9
19,11,8
19,11,8
17,10,7
20,13,7
18,12,6
18,12,6
19,13,6
22,15,7
23,15,8
23,15,8
25,16,9
24,16,8
27,17,10
29,18,11
30,18,12
31,18,13
30,17,13
29,17,12
29,16,13
29,16,13
29,16,13
28,16,12
28,15,13
26,14,13
22,11,11
22,12,10
21,12,9
21,11,10
20,10,10
20,11,9
20,11,9
21,12,9
24,13,11
27,15,12
29,16,13
31,16,15
34,17,17
37,18,19
40,18,22
44,21,23
44,21,23
44,21,23
46,23,23
48,23,25
50,24,26
52,25,27
50,23,27
50,24,26
47,23,24
45,25,20
44,24,20
42,21,21
42,22,20
41,21,20
40,20,20
39,20,19
39,20,19
38,17,21
41,19,22
43,21,22
42,21,22
43,21,22
42,19,23
41,19,22
46,21,25
50,21,29
49,20,29
47,20,27
49,21,28
48,21,27
49,22,27
50,22,28
51,23,28
50,22,28
47,21,26
45,22,23
45,22,23
43,22,22
41,19,22
40,19,21
40,19,21
39,19,20
38,19,19
38,18,20
40,19,21
40,20,20
44,21,23
45,22,23
44,21,23
47,24,23
53,26,27
51,23,28
50,22,28
49,22,27
48,23,25
47,24,23
46,24,23
46,22,24
44,20,24
43,21,22
41,21,20
41,20,21
41,20,21
38,18,20
36,17,19
36,18,18
35,17,18
34,17,17
32,16,16
33,16,17
31,17,14
33,16,17
38,20,18
36,20,16
36,21,15
40,23,17
40,25,15
41,27,14
43,28,15
41,27,14
42,27,15
40,28,12
38,26,12
37,26,11
36,26,10
37,26,11
38,24,14
37,24,13
36,24,12
35,23,12
34,22,12
33,21,12
32,21,11
31,22,9
30,20,10
28,18,10
29,18,11
29,19,10
30,20,10
33,19,14
36,19,17
39,20,19
38,19,19
41,18,23
40,19,21
39,18,21
37,18,19
36,17,19
34,17,18
35,16,19
37,18,19
40,22,18
41,21,20
42,22,20
43,23,20
42,23,19
39,21,18
38,20,18
36,20,16
36,20,16
34,19,15
34,18,16
32,16,16
31,17,14
33,17,16
35,18,17
34,16,18
34,16,18
34,16,18
33,16,17
32,16,16
32,16,16
31,15,16
29,13,16
29,14,15
31,14,17
37,17,20
39,20,19
37,18,19
34,18,16
33,18,15
32,16,16
33,16,17
31,16,15
30,14,16
30,14,16
28,14,14
28,14,14
29,15,15
27,13,14
25,14,12
23,11,12
21,11,10
19,9,10
19,8,11
18,8,10
18,8,10
17,7,10
16,8,8
16,8,8
17,9,8
29,14,15
30,15,15
27,15,12
25,13,12
24,13,11
23,11,12
23,11,12
22,11,11
20,9,11
20,10,10
20,10,10
20,10,10
20,10,10
19,10,9
18,9,10
17,8,9
16,9,7
15,8,7
15,7,8
15,7,8
15,7,8
15,7,8
14,7,7
14,7,7
19,9,10
25,12,13
33,18,15
33,18,15
33,18,15
32,18,14
32,17,15
32,17,15
32,17,15
31,17,14
29,16,13
27,15,12
26,13,13
24,12,13
21,10,11
21,11,10
20,10,10
20,10,10
18,9,9
16,8,8
16,9,7
15,9,6
15,8,7
15,8,7
15,8,7
21,12,9
28,16,12
31,20,11
31,22,10
34,21,13
36,22,14
36,22,14
36,22,14
34,22,12
32,19,13
32,21,11
31,20,11
31,21,10
31,21,10
30,21,9
29,19,10
27,19,8
26,17,9
24,15,9
23,15,8
22,15,7
21,15,6
21,16,5
20,15,5
20,15,5
21,15,6
25,16,9
26,15,11
30,19,11
33,20,13
32,18,14
33,19,14
33,19,14
33,18,15
33,18,15
