49,1.79,27.21
48,1.77,27.56
47,1.76,26.98
46,1.73,26.88
46,1.73,26.88
44,1.74,26.69
44,1.74,26.69
43,1.77,26.28
43,1.77,26.28
43,1.77,26.28
43,1.77,26.28
43,1.77,26.28
43,1.77,26.28
43,1.77,26.28
41,1.68,26.02
40,1.72,25.83
39,1.73,25.76
38,1.68,25.37
38,1.68,25.37
52,1.75,22.31
68,1.77,25.31
74,1.87,25.86
76,1.89,25.85
82,1.87,27.74
85,1.88,28.32
83,1.86,27.92
83,1.88,28.56
85,1.9,29.34
80,1.93,29.27
77,1.92,30.14
76,1.92,30.42
74,1.97,30.58
73,1.99,30.95
72,2.01,31.34
69,2.05,31.51
69,2.05,31.51
68,2.06,31.92
65,2.1,33.07
62,2.15,33.43
65,2.19,32.51
72,2.1,32.91
86,2.12,32.39
91,2.18,32.04
99,2.16,31.73
99,2.17,31.28
101,2.21,30.88
102,2.22,31.08
100,2.2,30.89
96,2.2,31.26
98,2.19,31.8
97,2.18,31.56
95,2.19,31.44
92,2.26,31.5
88,2.26,31.27
85,2.28,32.11
79,2.33,31.42
78,2.33,31.11
74,2.35,31.31
73,2.36,31.04
72,2.36,30.76
72,2.38,31.73
83,2.44,31.68
93,2.43,31.14
99,2.44,30.55
106,2.42,31.78
106,2.43,32.19
102,2.43,32.56
99,2.41,33.16
97,2.43,33.2
94,2.46,33.77
92,2.47,33.21
91,2.48,33.29
92,2.51,33.36
89,2.54,33.66
85,2.53,33.52
83,2.54,33.67
80,2.57,33.95
77,2.59,33.88
74,2.57,34.01
70,2.65,33.29
69,2.62,32.9
66,2.61,34.03
71,2.69,35.75
76,2.64,36.08
79,2.55,36.53
82,2.53,35.87
83,2.49,35.97
83,2.49,35.24
82,2.46,35.29
83,2.45,35.14
82,2.41,35.15
81,2.41,35.09
80,2.38,35.03
81,2.39,34.63
81,2.4,35.06
80,2.41,34.75
79,2.39,34.43
77,2.4,34.32
77,2.43,33.8
69,2.46,34.69
68,2.45,35.34
68,2.43,35.79
69,2.42,36.78
74,2.42,38.13
74,2.35,39.03
75,2.39,38.28
80,2.47,38.99
81,2.45,39.24
82,2.46,39.2
85,2.46,39.38
86,2.47,39.52
86,2.47,39.52
83,2.49,39.23
79,2.51,40.46
80,2.52,40.4
84,2.53,39.51
83,2.61,38.91
82,2.64,38.76
80,2.65,38.48
77,2.63,38.34
73,2.64,39.53
69,2.62,39.12
68,2.62,39.18
68,2.62,39.3
65,2.68,39.56
70,2.66,38.59
74,2.71,38.67
74,2.75,38.64
71,2.76,39.39
71,2.72,39.93
70,2.75,39.98
70,2.75,39.51
70,2.7,40.07
70,2.74,40.14
72,2.74,39.31
72,2.74,40.24
75,2.7,40.83
72,2.71,41.32
70,2.75,41.42
71,2.74,40.06
69,2.74,40.91
66,2.71,40.44
69,2.7,41.03
72,2.7,41.51
73,2.69,42.77
80,2.7,40.92
82,2.75,41.27
80,2.77,40.99
77,2.79,40.96
74,2.79,41.58
70,2.79,40.75
70,2.78,41.38
64,2.78,41.27
59,2.76,41.19
57,2.72,41.76
56,2.71,42.63
59,2.66,42.58
58,2.61,42.94
57,2.63,43.65
55,2.59,43.97
53,2.62,43.38
52,2.61,44.1
50,2.6,43.65
50,2.54,43.66
49,2.6,43.59
53,2.65,41.94
55,2.66,42.07
57,2.77,41.6
59,2.77,41.65
60,2.79,40.85
58,2.77,40.98
56,2.83,39.64
55,2.81,40.03
54,2.86,39.67
54,2.86,39.67
53,2.88,39.37
48,2.94,38.65
47,2.92,38.9
43,2.9,38.39
41,2.88,39.76
40,2.86,39.47
39,2.83,38.96
36,2.8,39.3
37,2.83,39.74
40,2.81,42.37
38,2.79,41.69
39,2.73,43.0
41,2.73,41.19
48,2.76,39.48
50,2.78,40.61
51,2.8,41.23
49,2.8,41.06
49,2.8,41.06
47,2.81,41.49
47,2.81,41.49
48,2.83,41.69
47,2.81,41.31
45,2.82,42.69
43,2.83,41.9
42,2.87,41.48
42,2.87,41.48
39,2.93,40.39
38,2.97,39.88
37,2.95,40.12
37,3.0,41.14
35,3.01,40.44
34,3.0,41.82
35,3.0,40.69
36,2.97,42.01
36,2.87,42.58
38,2.74,42.03
42,2.78,41.94
41,2.8,42.53
41,2.8,42.04
44,2.79,41.15
46,2.78,40.05
47,2.78,39.5
46,2.81,40.3
45,2.8,40.8
45,2.8,40.8
44,2.83,41.32
41,2.9,42.22
40,2.88,41.78
39,2.88,41.54
37,2.81,42.88
37,2.8,42.88
37,2.8,42.88
39,2.89,43.21
39,2.89,43.21
41,2.93,43.59
46,3.01,42.98
50,3.09,43.09
53,3.12,43.42
55,3.1,43.33
61,3.12,41.52
70,3.1,40.07
74,3.09,40.07
79,3.05,40.58
77,3.06,40.68
75,3.07,40.84
75,3.07,40.84
74,3.06,40.7
74,3.06,40.7
75,3.07,40.84
72,3.1,40.3
69,3.11,40.41
67,3.12,40.88
64,3.12,40.2
62,3.1,40.49
62,3.11,41.28
62,3.11,41.28
62,3.17,42.42
64,3.13,42.69
65,3.17,43.33
74,3.18,43.29
85,3.15,42.63
92,3.19,41.59
93,3.18,42.21
91,3.15,42.21
89,3.12,42.46
87,3.11,42.31
86,3.13,42.59
84,3.13,42.57
82,3.15,42.61
83,3.16,42.71
82,3.13,42.61
78,3.12,42.85
76,3.13,43.07
73,3.15,43.53
76,3.15,43.95
76,3.16,44.82
76,3.16,44.88
78,3.19,45.78
84,3.17,45.82
93,3.2,46.48
103,3.2,46.52
109,3.2,46.4
117,3.22,45.91
121,3.23,45.48
121,3.23,45.17
124,3.22,44.76
123,3.21,44.02
121,3.2,43.8
120,3.23,43.62
119,3.24,43.76
117,3.25,43.75
115,3.25,43.87
112,3.24,43.93
110,3.25,44.1
106,3.24,44.11
107,3.27,44.53
108,3.27,44.64
106,3.27,44.83
110,3.3,45.18
120,3.32,45.79
118,3.32,45.7
128,3.32,45.45
135,3.32,44.55
138,3.31,44.97
140,3.29,45.21
143,3.3,44.73
